Employee Number,Month,Day,Login,Logout
10032,6,6,10:24,20:21
10033,6,6,10:55,21:16
10034,6,6,9:49,19:09
10001,6,7,9:46,19:15
10002,6,7,9:41,20:01
10003,6,7,10:22,20:15
10004,6,7,9:28,18:11
10005,6,7,8:14,16:58
10006,6,7,8:18,18:23
10007,6,7,8:12,15:12
10008,6,7,8:19,16:22
10009,6,7,10:09,20:58
10010,6,7,9:08,17:12
10011,6,7,8:05,18:24
10012,6,7,10:26,19:03
10013,6,7,8:37,16:15
10014,6,7,8:30,17:31
10015,6,7,9:56,20:26
10016,6,7,9:41,16:51
10017,6,7,9:50,18:23
10018,6,7,9:19,17:38
10019,6,7,10:04,17:34
10020,6,7,8:45,17:21
10021,6,7,9:52,19:04
10022,6,7,9:02,16:29
10023,6,7,10:13,18:01
10024,6,7,9:56,16:59
10025,6,7,10:23,20:19
10026,6,7,8:04,17:41
10027,6,7,9:36,17:22
10028,6,7,8:29,19:24
10029,6,7,9:56,20:35
10030,6,7,8:33,19:10
10031,6,7,9:18,18:25
10032,6,7,8:52,19:40
10033,6,7,8:02,15:02
10034,6,7,10:38,21:21
10001,6,10,9:10,18:36
10002,6,10,8:02,18:40
10003,6,10,8:58,17:52
10004,6,10,10:10,18:58
10005,6,10,8:05,18:04
10006,6,10,8:10,16:39
10007,6,10,10:03,17:48
10008,6,10,10:06,19:18
10009,6,10,8:21,17:52
10010,6,10,10:55,19:46
10011,6,10,8:34,18:32
10012,6,10,8:58,17:00
10013,6,10,8:06,15:55
10014,6,10,9:43,19:52
10015,6,10,10:27,20:11
10016,6,10,9:58,20:46
10017,6,10,9:52,18:35
10018,6,10,10:51,20:16
10019,6,10,9:10,17:11
10020,6,10,10:10,18:23
10021,6,10,9:03,16:45
10022,6,10,10:26,17:58
10023,6,10,9:25,16:34
10024,6,10,10:08,19:10
10025,6,10,8:18,18:17
10026,6,10,8:42,17:01
10027,6,10,8:06,15:36
10028,6,10,9:28,16:52
10029,6,10,9:09,17:05
10030,6,10,8:21,17:24
10031,6,10,10:24,20:26
10032,6,10,10:13,20:59
10033,6,10,8:14,17:40
10034,6,10,8:01,17:28
10001,6,11,10:30,20:53
10002,6,11,9:55,19:49
10003,6,11,9:35,17:06
10004,6,11,9:28,20:26
10005,6,11,8:48,16:10
10006,6,11,9:26,18:47
10007,6,11,9:18,17:50
10008,6,11,8:09,17:46
10009,6,11,8:28,18:03
10010,6,11,8:23,15:46
10011,6,11,10:09,17:16
10012,6,11,10:11,18:50
10013,6,11,8:40,19:20
10014,6,11,10:46,20:44
10015,6,11,8:51,17:19
10016,6,11,9:10,16:26
10017,6,11,9:47,19:03
10018,6,11,9:32,17:59
10019,6,11,9:49,19:35
10020,6,11,9:59,17:53
10021,6,11,9:33,18:51
10022,6,11,9:28,18:33
10023,6,11,8:48,19:10
10024,6,11,9:49,17:56
10025,6,11,8:21,17:48
10026,6,11,10:35,20:15
10027,6,11,10:18,19:33
10028,6,11,8:56,18:11
10029,6,11,9:43,19:23
10030,6,11,8:20,18:18
10031,6,11,9:04,17:38
10032,6,11,9:11,17:52
10033,6,11,10:15,20:21
10034,6,11,10:39,17:46
10001,6,12,8:37,18:25
10002,6,12,9:04,18:20
10003,6,12,10:51,20:14
10004,6,12,9:12,16:56
10005,6,12,10:10,18:34
10006,6,12,9:15,18:49
10007,6,12,9:01,16:14
10008,6,12,9:55,17:36
10009,6,12,10:27,20:01
10010,6,12,10:48,19:52
10011,6,12,8:57,19:50
10012,6,12,10:45,19:08
10013,6,12,9:34,19:14
10014,6,12,9:06,18:52
10015,6,12,8:53,17:12
10016,6,12,10:38,20:53
10017,6,12,9:05,16:27
10018,6,12,8:25,15:59
10019,6,12,10:09,18:38
10020,6,12,8:50,16:42
10021,6,12,10:09,19:52
10022,6,12,10:35,21:04
10023,6,12,10:53,20:58
10024,6,12,10:05,18:59
10025,6,12,8:23,17:26
10026,6,12,8:03,17:02
10027,6,12,9:15,16:57
10028,6,12,10:33,18:46
10029,6,12,8:37,16:08
10030,6,12,8:20,16:05
10031,6,12,9:36,20:16
10032,6,12,9:16,19:11
10033,6,12,8:11,17:57
10034,6,12,8:56,18:37
10001,6,13,8:24,19:20
10002,6,13,8:35,18:33
10003,6,13,8:53,19:06
10004,6,13,9:49,17:38
10005,6,13,9:56,18:07
10006,6,13,10:47,19:54
10007,6,13,10:00,18:49
10008,6,13,9:14,19:44
10009,6,13,10:09,17:16
10010,6,13,10:59,21:30
10011,6,13,8:08,17:12
10012,6,13,9:10,17:36
10013,6,13,9:13,18:23
10014,6,13,10:56,21:55
10015,6,13,9:49,17:47
10016,6,13,8:48,16:16
10017,6,13,9:10,19:57
10018,6,13,8:02,17:45
10019,6,13,9:44,20:13
10020,6,13,10:17,18:23
10021,6,13,8:47,17:17
10022,6,13,9:11,17:26
10023,6,13,9:30,19:55
10024,6,13,10:53,18:33
10025,6,13,9:11,17:41
10026,6,13,9:35,18:44
10027,6,13,8:44,19:30
10028,6,13,10:22,19:14
10029,6,13,8:06,17:03
10030,6,13,9:34,16:40
10031,6,13,8:20,17:02
10032,6,13,9:00,18:18
10033,6,13,10:17,18:35
10034,6,13,8:35,15:37
10001,6,14,9:28,19:24
10002,6,14,8:22,17:34
10003,6,14,10:20,18:16
10004,6,14,9:32,20:09
10005,6,14,8:50,16:13
10006,6,14,9:36,16:42
10007,6,14,8:12,16:15
10008,6,14,8:40,18:51
10009,6,14,8:16,18:15
10010,6,14,9:41,20:11
10011,6,14,9:49,17:31
10012,6,14,8:39,16:13
10013,6,14,8:11,16:02
10014,6,14,10:43,21:35
10015,6,14,8:25,18:56
10016,6,14,8:23,16:51
10017,6,14,9:40,17:06
10018,6,14,10:43,18:48
10019,6,14,9:30,20:15
10020,6,14,8:53,18:16
10021,6,14,9:44,18:25
10022,6,14,10:50,18:13
10023,6,14,10:53,18:21
10024,6,14,10:32,20:01
10025,6,14,10:47,20:27
10026,6,14,8:34,16:56
10027,6,14,10:59,19:33
10028,6,14,8:09,18:57
10029,6,14,8:06,18:49
10030,6,14,10:29,20:21
10031,6,14,10:28,21:27
10032,6,14,10:40,20:16
10033,6,14,9:32,19:35
10034,6,14,9:26,19:24
10001,6,17,9:07,19:10
10002,6,17,9:44,18:35
10003,6,17,10:46,20:54
10004,6,17,8:50,17:42
10005,6,17,9:36,18:09
10006,6,17,10:33,20:06
10007,6,17,9:38,18:50
10008,6,17,10:42,18:58
10009,6,17,10:20,19:02
10010,6,17,9:15,16:52
10011,6,17,8:55,18:30
10012,6,17,10:55,20:19
10013,6,17,10:01,20:57
10014,6,17,10:21,20:16
10015,6,17,9:16,20:00
10016,6,17,10:01,19:45
10017,6,17,9:30,17:12
10018,6,17,10:55,20:17
10019,6,17,10:40,19:43
10020,6,17,8:05,18:31
10021,6,17,10:25,20:02
10022,6,17,9:40,20:22
10023,6,17,9:59,18:10
10024,6,17,9:26,19:41
10025,6,17,9:48,17:00
10026,6,17,8:51,18:33
10027,6,17,9:44,20:40
10028,6,17,10:42,20:23
10029,6,17,8:39,18:38
10030,6,17,10:37,20:45
10031,6,17,8:15,18:19
10032,6,17,10:52,18:42
10033,6,17,9:02,17:05
10034,6,17,8:58,16:23
10001,6,18,8:32,18:35
10002,6,18,9:55,17:35
10003,6,18,8:38,18:30
10004,6,18,10:56,21:09
10005,6,18,10:24,17:43
10006,6,18,10:38,20:08
10007,6,18,9:32,18:44
10008,6,18,9:42,17:50
10009,6,18,9:50,20:38
10010,6,18,10:27,17:53
10011,6,18,10:42,17:51
10012,6,18,10:05,19:29
10013,6,18,8:39,17:22
10014,6,18,9:35,17:36
10015,6,18,9:23,19:32
10016,6,18,9:48,20:06
10017,6,18,10:53,21:03
10018,6,18,8:46,18:58
10019,6,18,10:30,18:51
10020,6,18,10:17,17:37
10021,6,18,9:02,17:36
10022,6,18,10:31,20:21
10023,6,18,10:35,19:00
10024,6,18,9:34,18:17
10025,6,18,9:33,18:29
10026,6,18,9:31,17:55
10027,6,18,10:11,19:05
10028,6,18,8:38,18:56
10029,6,18,10:38,20:05
10030,6,18,9:42,16:47
10031,6,18,8:43,19:22
10032,6,18,10:16,17:23
10033,6,18,8:06,16:59
10034,6,18,10:36,20:55
10001,6,19,9:05,18:30
10002,6,19,9:29,19:35
10003,6,19,10:53,19:46
10004,6,19,9:48,18:19
10005,6,19,10:35,18:43
10006,6,19,9:14,17:39
10007,6,19,10:00,18:43
10008,6,19,8:44,16:49
10009,6,19,10:54,20:06
10010,6,19,10:54,20:05
10011,6,19,10:30,18:23
10012,6,19,8:25,16:47
10013,6,19,9:56,20:42
10014,6,19,10:32,20:15
10015,6,19,9:14,16:59
10016,6,19,8:14,19:12
10017,6,19,8:12,16:41
10018,6,19,8:30,18:47
10019,6,19,9:44,17:47
10020,6,19,10:03,20:37
10021,6,19,10:37,18:21
10022,6,19,10:52,18:13
10023,6,19,10:42,18:17
10024,6,19,8:08,16:53
10025,6,19,9:42,18:08
10026,6,19,9:23,17:05
10027,6,19,9:32,16:44
10028,6,19,10:35,18:55
10029,6,19,9:01,18:37
10030,6,19,10:29,17:34
10031,6,19,9:09,16:13
10032,6,19,9:39,18:08
10033,6,19,8:28,18:19
10034,6,19,10:57,20:14
10001,6,20,9:07,20:01
10002,6,20,9:17,19:59
10003,6,20,10:02,18:12
10004,6,20,8:09,16:39
10005,6,20,9:28,17:07
10006,6,20,8:42,17:29
10007,6,20,8:53,18:42
10008,6,20,9:19,17:36
10009,6,20,9:52,17:40
10010,6,20,9:31,16:38
10011,6,20,10:26,20:33
10012,6,20,9:18,18:00
10013,6,20,9:29,18:38
10014,6,20,8:51,17:57
10015,6,20,10:43,19:59
10016,6,20,8:00,18:02
10017,6,20,9:46,17:55
10018,6,20,10:38,21:20
10019,6,20,10:27,17:28
10020,6,20,8:27,17:42
10021,6,20,9:35,19:22
10022,6,20,9:37,19:29
10023,6,20,9:04,16:44
10024,6,20,8:51,18:43
10025,6,20,8:40,17:14
10026,6,20,8:02,18:00
10027,6,20,9:25,18:34
10028,6,20,9:30,18:13
10029,6,20,9:39,19:01
10030,6,20,10:29,20:46
10031,6,20,8:19,17:41
10032,6,20,9:17,17:17
10033,6,20,8:54,16:10
10034,6,20,8:17,16:15
10001,6,21,8:19,15:24
10002,6,21,10:14,19:10
10003,6,21,9:03,18:01
10004,6,21,10:59,18:50
10005,6,21,8:49,19:40
10006,6,21,9:59,17:58
10007,6,21,9:00,16:34
10008,6,21,10:05,18:19
10009,6,21,8:09,17:48
10010,6,21,9:17,20:03
10011,6,21,10:48,19:53
10012,6,21,9:32,18:42
10013,6,21,10:03,20:17
10014,6,21,9:32,18:27
10015,6,21,8:46,19:31
10016,6,21,9:16,16:41
10017,6,21,9:40,20:09
10018,6,21,10:41,20:09
10019,6,21,9:04,16:08
10020,6,21,10:42,19:02
10021,6,21,9:23,19:28
10022,6,21,8:53,16:26
10023,6,21,9:06,18:41
10024,6,21,8:23,16:10
10025,6,21,10:17,17:50
10026,6,21,9:14,17:42
10027,6,21,9:24,19:38
10028,6,21,9:32,19:48
10029,6,21,9:35,17:33
10030,6,21,9:09,19:14
10031,6,21,8:24,18:09
10032,6,21,9:48,20:29
10033,6,21,9:14,16:35
10034,6,21,8:52,15:59
10001,6,24,10:26,19:43
10002,6,24,9:08,16:12
10003,6,24,9:11,16:25
10004,6,24,8:08,16:56
10005,6,24,9:40,19:56
10006,6,24,10:26,21:16
10007,6,24,10:47,21:33
10008,6,24,9:28,20:08
10009,6,24,10:09,20:02
10010,6,24,8:37,16:07
10011,6,24,9:24,16:45
10012,6,24,10:18,19:52
10013,6,24,10:11,20:44
10014,6,24,8:52,17:16
10015,6,24,8:33,18:18
10016,6,24,9:56,17:33
10017,6,24,8:31,17:04
10018,6,24,8:42,16:34
10019,6,24,10:58,20:40
10020,6,24,9:42,19:21
10021,6,24,8:49,16:16
10022,6,24,9:03,18:10
10023,6,24,8:30,16:13
10024,6,24,8:38,18:05
10025,6,24,9:45,18:57
10026,6,24,10:43,19:40
10027,6,24,8:04,18:05
10028,6,24,9:30,17:18
10029,6,24,8:59,18:52
10030,6,24,10:41,20:26
10031,6,24,8:21,18:27
10032,6,24,8:04,16:14
10033,6,24,8:36,17:06
10034,6,24,8:39,18:22
10001,6,25,9:52,17:12
10002,6,25,8:48,19:41
10003,6,25,10:59,19:33
10004,6,25,9:03,16:10
10005,6,25,10:13,20:03
10006,6,25,9:27,19:23
10007,6,25,8:30,18:31
10008,6,25,9:57,17:11
10009,6,25,10:12,20:21
10010,6,25,8:16,15:19
10011,6,25,9:54,17:50
10012,6,25,9:10,17:36
10013,6,25,8:51,17:49
10014,6,25,9:11,16:13
10015,6,25,10:40,20:05
10016,6,25,9:34,20:15
10017,6,25,8:57,19:38
10018,6,25,10:26,18:23
10019,6,25,8:01,16:13
10020,6,25,10:16,19:52
10021,6,25,9:07,17:24
10022,6,25,8:42,17:02
10023,6,25,10:24,20:50
10024,6,25,8:34,17:45
10025,6,25,8:20,15:52
10026,6,25,8:12,18:34
10027,6,25,9:31,18:11
10028,6,25,8:09,15:13
10029,6,25,8:13,18:46
10030,6,25,8:18,17:29
10031,6,25,10:29,17:59
10032,6,25,8:28,16:24
10033,6,25,10:43,20:05
10034,6,25,8:45,19:12
10001,6,26,8:23,18:51
10002,6,26,9:49,18:47
10003,6,26,9:39,17:15
10004,6,26,10:25,20:19
10005,6,26,10:27,19:34
10006,6,26,10:41,19:00
10007,6,26,8:10,17:53
10008,6,26,10:22,21:04
10009,6,26,10:42,19:44
10010,6,26,10:26,18:52
10011,6,26,10:48,21:44
10012,6,26,9:52,19:55
10013,6,26,8:59,18:35
10014,6,26,10:06,20:56
10015,6,26,10:51,18:16
10016,6,26,8:04,18:36
10017,6,26,8:46,18:05
10018,6,26,10:00,19:33
10019,6,26,10:37,18:40
10020,6,26,10:45,21:11
10021,6,26,9:55,19:16
10022,6,26,8:07,17:17
10023,6,26,10:21,19:05
10024,6,26,9:03,18:18
10025,6,26,9:49,16:51
10026,6,26,9:49,19:34
10027,6,26,9:45,18:28
10028,6,26,10:13,17:42
10029,6,26,9:50,17:12
10030,6,26,9:12,18:55
10031,6,26,8:45,15:51
10032,6,26,10:50,21:40
10033,6,26,9:33,16:35
10034,6,26,9:40,20:14
10001,6,27,8:46,16:09
10002,6,27,9:42,18:48
10003,6,27,10:41,18:27
10004,6,27,8:06,16:55
10005,6,27,10:35,18:14
10006,6,27,8:31,17:25
10007,6,27,9:25,16:39
10008,6,27,9:01,17:28
10009,6,27,8:00,15:08
10010,6,27,8:01,15:32
10011,6,27,8:18,17:40
10012,6,27,10:54,18:44
10013,6,27,9:04,18:46
10014,6,27,10:54,20:46
10015,6,27,10:32,19:40
10016,6,27,8:41,17:37
10017,6,27,9:05,17:00
10018,6,27,10:58,20:59
10019,6,27,9:50,20:09
10020,6,27,9:58,17:12
10021,6,27,8:11,19:05
10022,6,27,8:01,18:12
10023,6,27,10:29,18:19
10024,6,27,8:49,19:37
10025,6,27,8:41,16:42
10026,6,27,10:00,18:54
10027,6,27,8:11,17:09
10028,6,27,9:31,17:35
10029,6,27,10:07,18:35
10030,6,27,10:48,19:57
10031,6,27,10:38,20:20
10032,6,27,8:09,15:56
10033,6,27,10:59,20:20
10034,6,27,10:32,21:12
10001,6,28,9:07,18:28
10002,6,28,8:13,18:42
10003,6,28,9:43,19:09
10004,6,28,8:36,17:33
10005,6,28,9:24,18:18
10006,6,28,8:58,19:23
10007,6,28,9:39,17:19
10008,6,28,10:48,18:23
10009,6,28,8:13,16:41
10010,6,28,8:15,15:39
10011,6,28,9:05,19:20
10012,6,28,8:52,17:58
10013,6,28,9:35,17:17
10014,6,28,9:19,16:36
10015,6,28,9:50,20:09
10016,6,28,9:41,18:43
10017,6,28,9:05,17:22
10018,6,28,9:58,20:35
10019,6,28,9:13,17:21
10020,6,28,8:30,16:54
10021,6,28,9:56,20:30
10022,6,28,10:21,18:29
10023,6,28,8:08,16:54
10024,6,28,8:43,17:44
10025,6,28,10:48,19:23
10026,6,28,8:51,17:31
10027,6,28,10:00,20:47
10028,6,28,9:09,17:46
10029,6,28,8:51,16:45
10030,6,28,9:49,17:06
10031,6,28,9:29,20:07
10032,6,28,10:41,20:39
10033,6,28,8:13,17:10
10034,6,28,8:21,16:41
10001,7,1,9:15,19:17
10002,7,1,10:06,19:22
10003,7,1,9:03,20:00
10004,7,1,10:51,21:50
10005,7,1,10:58,19:03
10006,7,1,8:55,17:56
10007,7,1,8:51,16:53
10008,7,1,8:44,18:14
10009,7,1,10:14,17:19
10010,7,1,10:44,20:40
10011,7,1,9:16,17:24
10012,7,1,10:02,21:00
10013,7,1,10:05,18:37
10014,7,1,9:34,18:19
10015,7,1,8:59,17:50
10016,7,1,10:50,20:26
10017,7,1,8:46,17:10
10018,7,1,8:59,18:32
10019,7,1,8:12,17:16
10020,7,1,10:08,18:48
10021,7,1,9:57,18:40
10022,7,1,9:18,17:02
10023,7,1,10:08,18:49
10024,7,1,9:08,18:44
10025,7,1,10:18,19:43
10026,7,1,8:51,19:09
10027,7,1,9:49,18:23
10028,7,1,10:01,19:28
10029,7,1,10:30,19:43
10030,7,1,8:54,16:29
10031,7,1,8:40,19:00
10032,7,1,10:06,17:54
10033,7,1,10:59,20:40
10034,7,1,9:37,17:13
10001,7,2,9:33,19:06
10002,7,2,10:38,18:29
10003,7,2,9:06,18:09
10004,7,2,8:01,17:19
10005,7,2,8:50,19:49
10006,7,2,9:42,17:35
10007,7,2,9:03,19:46
10008,7,2,8:03,17:53
10009,7,2,9:09,16:49
10010,7,2,8:15,18:43
10011,7,2,8:06,18:48
10012,7,2,10:50,21:28
10013,7,2,9:38,17:30
10014,7,2,9:31,16:35
10015,7,2,8:36,16:09
10016,7,2,9:52,17:36
10017,7,2,8:02,18:00
10018,7,2,8:58,16:08
10019,7,2,10:19,18:30
10020,7,2,9:58,20:23
10021,7,2,9:03,17:55
10022,7,2,9:56,18:31
10023,7,2,9:48,19:38
10024,7,2,9:34,17:42
10025,7,2,10:57,20:26
10026,7,2,8:28,17:44
10027,7,2,9:05,19:54
10028,7,2,9:18,18:59
10029,7,2,9:14,18:06
10030,7,2,8:44,16:49
10031,7,2,10:44,18:23
10032,7,2,9:55,19:47
10033,7,2,9:57,20:03
10034,7,2,10:25,18:34
10001,7,3,10:43,19:29
10002,7,3,9:53,18:07
10003,7,3,8:34,16:27
10004,7,3,9:52,17:21
10005,7,3,9:55,17:55
10006,7,3,8:10,16:16
10007,7,3,8:33,18:14
10008,7,3,8:54,16:11
10009,7,3,9:50,20:30
10010,7,3,8:18,19:07
10011,7,3,10:25,20:30
10012,7,3,8:14,17:51
10013,7,3,9:12,16:17
10014,7,3,10:31,20:46
10015,7,3,10:44,21:33
10016,7,3,10:22,19:15
10017,7,3,10:23,17:30
10018,7,3,8:26,18:34
10019,7,3,8:41,17:00
10020,7,3,10:16,19:25
10021,7,3,8:49,19:16
10022,7,3,9:33,19:45
10023,7,3,10:26,17:41
10024,7,3,8:47,16:20
10025,7,3,8:34,15:34
10026,7,3,10:49,21:20
10027,7,3,10:36,20:51
10028,7,3,8:36,16:53
10029,7,3,10:37,20:59
10030,7,3,9:53,18:07
10031,7,3,9:32,17:25
10032,7,3,10:35,18:09
10033,7,3,8:45,16:17
10034,7,3,10:52,19:07
10001,7,4,8:15,18:26
10002,7,4,10:19,17:46
10003,7,4,8:17,16:54
10004,7,4,9:45,19:40
10005,7,4,9:17,16:45
10006,7,4,8:58,17:33
10007,7,4,10:32,19:13
10008,7,4,10:08,17:36
10009,7,4,9:24,17:14
10010,7,4,9:53,17:48
10011,7,4,8:19,15:22
10012,7,4,10:29,17:33
10013,7,4,9:23,17:34
10014,7,4,8:33,16:49
10015,7,4,10:22,19:58
10016,7,4,10:30,20:02
10017,7,4,10:15,20:24
10018,7,4,8:18,17:56
10019,7,4,10:21,19:21
10020,7,4,8:29,17:51
10021,7,4,8:21,16:55
10022,7,4,9:01,16:36
10023,7,4,9:32,17:22
10024,7,4,10:25,21:15
10025,7,4,9:20,19:54
10026,7,4,9:25,17:23
10027,7,4,9:31,20:11
10028,7,4,8:11,15:23
10029,7,4,9:36,20:20
10030,7,4,10:55,18:48
10031,7,4,10:20,18:17
10032,7,4,9:20,17:22
10033,7,4,10:50,18:35
10034,7,4,8:47,18:48
10001,7,5,8:00,16:29
10002,7,5,9:07,17:31
10003,7,5,10:18,18:10
10004,7,5,8:46,19:08
10005,7,5,9:21,18:42
10006,7,5,9:23,17:17
10007,7,5,9:16,17:03
10008,7,5,8:36,16:54
10009,7,5,8:36,16:33
10010,7,5,10:38,17:47
10011,7,5,10:39,19:10
10012,7,5,10:09,19:52
10013,7,5,8:12,19:09
10014,7,5,9:12,19:43
10015,7,5,8:15,17:05
10016,7,5,9:57,18:18
10017,7,5,8:01,16:56
10018,7,5,10:55,21:41
10019,7,5,9:22,18:00
10020,7,5,8:19,15:50
10021,7,5,10:36,20:42
10022,7,5,10:34,19:13
10023,7,5,10:37,20:48
10024,7,5,8:23,18:20
10025,7,5,8:12,18:40
10026,7,5,9:24,20:16
10027,7,5,9:39,16:43
10028,7,5,10:55,19:40
10029,7,5,8:28,18:12
10030,7,5,9:24,16:25
10031,7,5,8:39,18:48
10032,7,5,9:02,18:57
10033,7,5,8:11,15:23
10034,7,5,9:47,19:50
10001,7,8,8:32,16:59
10002,7,8,9:53,18:32
10003,7,8,10:28,21:25
10004,7,8,9:26,17:53
10005,7,8,10:49,18:26
10006,7,8,8:03,15:04
10007,7,8,10:34,20:37
10008,7,8,10:03,18:46
10009,7,8,9:09,19:10
10010,7,8,8:38,17:43
10011,7,8,8:51,19:10
10012,7,8,10:20,19:02
10013,7,8,10:00,18:27
10014,7,8,10:37,20:47
10015,7,8,10:09,17:30
10016,7,8,9:44,17:38
10017,7,8,9:09,18:10
10018,7,8,10:53,21:22
10019,7,8,9:16,19:22
10020,7,8,9:22,19:09
10021,7,8,9:50,18:30
10022,7,8,9:26,20:23
10023,7,8,9:27,19:35
10024,7,8,10:44,17:51
10025,7,8,10:15,17:38
10026,7,8,10:28,20:04
10027,7,8,9:36,20:15
10028,7,8,10:51,21:26
10029,7,8,10:35,20:30
10030,7,8,9:01,17:09
10031,7,8,10:12,18:28
10032,7,8,8:31,16:09
10033,7,8,9:13,16:15
10034,7,8,10:38,18:48
10001,7,9,9:46,18:46
10002,7,9,8:45,16:35
10003,7,9,9:14,20:12
10004,7,9,9:04,17:38
10005,7,9,8:11,16:49
10006,7,9,9:48,16:51
10007,7,9,8:25,18:55
10008,7,9,10:08,19:18
10009,7,9,10:58,18:29
10010,7,9,8:49,16:48
10011,7,9,9:11,18:54
10012,7,9,10:48,19:19
10013,7,9,9:00,19:02
10014,7,9,10:45,20:49
10015,7,9,8:54,18:11
10016,7,9,9:34,20:25
10017,7,9,8:55,19:09
10018,7,9,10:35,19:38
10019,7,9,9:14,20:07
10020,7,9,9:23,17:32
10021,7,9,8:07,16:33
10022,7,9,9:42,20:07
10023,7,9,10:52,18:45
10024,7,9,8:23,16:04
10025,7,9,9:37,19:31
10026,7,9,9:47,20:41
10027,7,9,9:39,19:46
10028,7,9,9:21,18:09
10029,7,9,8:50,19:31
10030,7,9,10:18,21:12
10031,7,9,10:54,18:18
10032,7,9,9:38,18:29
10033,7,9,8:11,16:48
10034,7,9,8:32,16:35
10001,7,10,9:02,17:37
10002,7,10,9:25,18:52
10003,7,10,8:51,17:54
10004,7,10,8:08,16:22
10005,7,10,9:40,16:47
10006,7,10,9:32,17:02
10007,7,10,10:10,19:35
10008,7,10,10:12,19:03
10009,7,10,10:28,17:34
10010,7,10,10:42,20:43
10011,7,10,8:12,17:19
10012,7,10,8:14,16:57
